代码,名称,总市值_亿
600000,浦发银行,3120.76
600004,白云机场,195.73
600006,东风股份,122.4
600007,中国国贸,215.96
600008,首创环保,231.23
600009,上海机场,513
600010,包钢股份,739.11
600011,华能国际,975.5
600012,皖通高速,196.17
600015,华夏银行,1032.48
600016,民生银行,1258.91
600018,上港集团,1192.56
600019,宝钢股份,1313.46
600021,上海电力,628.57
600022,山东钢铁,143.36
600023,浙能电力,867.55
600025,华能水电,1844.48
600026,中远海能,744.53
600027,华电国际,512.39
600028,中国石化,4595.5
600029,南方航空,739.89
600030,中信证券,3171.99
600031,三一重工,1520.31
600032,浙江新能,255.14
600036,招商银行,7841.06
600037,歌华有线,101.6
600038,中直股份,183.29
600039,四川路桥,761.73
600048,保利发展,690.69
600050,中国联通,1348.08
600056,中国医药,148.04
600057,厦门象屿,133.08
600058,五矿发展,107.41
600060,海信视像,335.7
600061,国投资本,411.77
600062,华润双鹤,173.8
600063,皖维高新,144.84
600064,南京高科,132.37
600066,宇通客车,715.1
600072,中船科技,121.88
600085,同仁堂,351.78
600089,特变电工,1280.88
600095,湘财股份,242.46
600096,云天化,558.56
600098,广州发展,280.47
600100,同方股份,267.69
600104,上汽集团,1416.22
600105,永鼎股份,698.98
600109,国金证券,321.26
600110,诺德股份,219.67
600111,北方稀土,1757.65
600113,浙江东日,155.4
600114,东睦股份,225.72
600115,中国东航,747.4
600116,三峡水利,132.32
600118,中国卫星,909.69
600120,浙江东方,164.62
600123,兰花科创,100.92
600126,杭钢股份,265.11
600131,国网信通,209.16
600132,重庆啤酒,256.12
600141,兴发集团,375.66
600143,金发科技,445.55
600150,中国船舶,2813.08
600151,航天机电,197.5
600153,建发股份,280.97
600155,华创云信,125.95
600157,永泰能源,397.08
600158,中体产业,108.23
600160,巨化股份,891.46
600161,天坛生物,267.93
600163,中闽能源,131.69
600166,福田汽车,231.98
600167,联美控股,153.87
600170,上海建工,223.93
600171,上海贝岭,205.16
600172,黄河旋风,179.7
600176,中国巨石,1685.32
600177,雅戈尔,335.96
600179,安通控股,169.17
600183,生益科技,3367.15
600184,光电股份,156.64
600185,珠免集团,102.92
600186,莲花控股,180.7
600188,兖矿能源,1299.57
600196,复星医药,492.55
600198,大唐电信,104.16
600201,生物股份,129.74
600206,有研新材,241.27
600208,衢州发展,251.84
600210,紫江企业,100.86
600211,西藏药业,124.22
600216,浙江医药,121.4
600219,南山铝业,597.15
600221,海航控股,629.83
600226,亨通股份,190.06
600233,圆通速递,641.76
600236,桂冠电力,917.51
600246,万通发展,305.68
600248,陕建股份,121.55
600256,广汇能源,403.34
600258,首旅酒店,147.39
600259,中稀有色,280.55
600267,海正药业,122.87
600268,国电南自,138.18
600269,赣粤高速,101.59
600271,航天信息,136.74
600276,恒瑞医药,3201.62
600282,南钢股份,303.32
600285,羚锐制药,120.98
600295,鄂尔多斯,267.1
600298,安琪酵母,313.72
600299,安迪苏,295.01
600301,华锡有色,151.43
600307,酒钢宏兴,100.21
600309,万华化学,2299.33
600312,平高电气,288.07
600315,上海家化,125.64
600316,洪都航空,210.69
600320,振华重工,158.89
600323,瀚蓝环境,249.9
600326,西藏天路,108.18
600329,达仁堂,230.92
600330,天通股份,403.7
600331,宏达股份,291.8
600332,白云山,302.55
600338,西藏珠峰,165.93
600339,中油工程,197.64
600343,航天动力,166.89
600345,长江通信,104.19
600346,恒力石化,1210.02
600348,华阳股份,335.14
600350,山东高速,592.23
600352,浙江龙盛,365.02
600353,旭光电子,184.16
600360,华微电子,115.24
600361,创新新材,165.36
600362,江西铜业,902.73
600363,联创光电,160.52
600366,宁波韵升,135.07
600367,红星发展,103.35
600369,西南证券,264.48
600372,中航机载,539.05
600373,中文传媒,102.67
600376,首开股份,114.27
600377,宁沪高速,490.1
600378,昊华科技,415.08
600380,健康元,186.6
600383,金地集团,124.15
600388,龙净环保,236.48
600389,江山股份,105.72
600390,五矿资本,214.11
600391,航发科技,117.63
600392,盛和资源,383.69
600395,盘江股份,120.43
600396,华电辽能,294.98
600397,江钨装备,138
600398,海澜之家,273.76
600403,大有能源,120.74
600406,国电南瑞,1994.04
600409,三友化工,128.4
600410,华胜天成,207.9
600415,小商品城,702.44
600416,湘电股份,170.16
600418,江淮汽车,808.52
600420,国药现代,124.46
600426,华鲁恒升,622.46
600428,中远海特,167.44
600435,北方导航,179.67
600436,片仔癀,774.72
600438,通威股份,664.94
600446,金证股份,123.12
600452,涪陵电力,211.89
600456,宝钛股份,152.46
600458,时代新材,109.96
600459,贵研铂业,163.26
600460,士兰微,575.77
600461,洪城环境,134.71
600475,华光环能,148.13
600480,凌云股份,133.66
600481,双良节能,112.09
600482,中国动力,840.16
600483,福能股份,319.44
600486,扬农化工,230.92
600487,亨通光电,1885.72
600489,中金黄金,1086.77
600490,鹏欣资源,146.46
600497,驰宏锌锗,479.84
600498,烽火通信,659.84
600499,科达制造,313.38
600500,中化国际,193.05
600507,方大特钢,111.73
600508,上海能源,103.42
600509,天富能源,133.87
600511,国药股份,152.56
600515,海南机场,294.55
600516,方大炭素,202.51
600517,国网英大,308.22
600518,康美药业,214.25
600519,贵州茅台,16576.08
600521,华海药业,238.96
600522,中天科技,1439.92
600528,中铁工业,165.28
600529,山东药玻,127.28
600531,豫光金铅,159.99
600535,天士力,210.2
600536,中国软件,305.07
600545,卓郎智能,140.89
600546,山煤国际,275.16
600547,山东黄金,1043.49
600548,深高速,152.93
600549,厦门钨业,844.87
600550,保变电气,246.58
600552,凯盛科技,169.37
600559,老白干酒,118.42
600562,国睿科技,296.56
600563,法拉电子,373.23
600566,济川药业,252.88
600570,恒生电子,459.59
600572,康恩贝,107.03
600575,淮河能源,162.45
600577,精达股份,279.64
600578,京能电力,627.96
600580,卧龙电驱,614.64
600582,天地科技,224.31
600583,海油工程,248.04
600584,长电科技,1468.21
600585,海螺水泥,805.94
600588,用友网络,354.34
600589,大位科技,160.41
600590,泰豪科技,107.56
600595,中孚实业,280.55
600596,新安股份,162.63
600598,北大荒,253.32
600600,青岛啤酒,433.56
600601,方正科技,560.07
600602,云赛智联,198.53
600606,绿地控股,206.6
600612,老凤祥,114
600619,海立股份,120.51
600621,华鑫股份,139.51
600623,华谊集团,163.97
600629,华建集团,169.12
600633,浙数文化,154.71
600635,大众公用,126.99
600637,东方明珠,327.11
600641,先导基电,250.34
600642,申能股份,505.04
600648,外高桥,109.91
600651,飞乐音响,160.7
600655,豫园股份,184.38
600660,福耀玻璃,1054.77
600662,外服控股,101.99
600663,陆家嘴,228.79
600666,奥瑞德,114.1
600667,太极实业,268.97
600673,东阳光,1069.15
600674,川投能源,755.56
600675,中华企业,146.92
600683,京投发展,112.6
600685,中船防务,231.89
600688,上海石化,199.34
600690,海尔智家,1305.63
600699,均胜电子,355.3
600702,舍得酒业,146.55
600703,三安光电,780.28
600704,物产中大,257.01
600707,彩虹股份,350.52
600710,苏美达,152.89
600711,盛屯矿业,377.05
600717,天津港,129.94
600724,宁波富达,100.13
600726,华电能源,757.25
600728,佳都科技,103
600732,爱旭股份,254.03
600733,北汽蓝谷,339.44
600737,中粮糖业,275.91
600739,辽宁成大,164.6
600741,华域汽车,526.82
600744,华银电力,184.02
600750,华润江中,157.49
600754,锦江酒店,184.92
600755,厦门国贸,126.44
600760,中航沈飞,1216.14
600761,安徽合力,158.54
600763,通策医疗,167.33
600764,中国海防,145.32
600765,中航重机,221.39
600773,西藏城投,160.06
600776,东方通信,139.38
600779,水井坊,174.53
600783,鲁信创投,156.91
600787,中储股份,103.73
600795,国电电力,918.53
600801,华新建材,250.09
600803,新奥股份,600.52
600808,马钢股份,176.05
600809,山西汾酒,1565.21
600816,建元信托,169
600820,隧道股份,180.79
600821,金开新能,159.55
600827,百联股份,136.22
600835,上海机电,176.71
600839,四川长虹,332.28
600845,宝信软件,430.01
600848,上海临港,214.49
600850,电科数字,165.49
600859,王府井,125.64
600862,中航高科,248.24
600863,华能蒙电,476.46
600864,哈投股份,116.3
600867,通化东宝,164.71
600869,远东股份,534.86
600871,石化油服,314.29
600872,中炬高新,151.34
600873,梅花生物,264.16
600875,东方电气,797.38
600877,电科芯片,172.16
600879,航天电子,643.69
600884,杉杉股份,268.84
600885,宏发股份,523.71
600886,国投电力,1065.95
600887,伊利股份,1694.33
600888,新疆众和,179.85
600893,航发动力,1106.56
600895,张江高科,538.01
600900,长江电力,6789.93
600901,江苏金租,361.9
600903,贵州燃气,107.53
600905,三峡能源,1192.11
600906,财达证券,141.69
600908,无锡银行,108.96
600909,华安证券,360.24
600916,中国黄金,133.39
600918,中泰证券,248.22
600919,江苏银行,2071.86
600926,杭州银行,1160.57
600927,永安期货,202.47
600928,西安银行,155.26
600930,华电新能,207.68
600933,爱柯迪,156.57
600938,中国海油,1028.56
600941,中国移动,894.64
600956,新天绿能,213.44
600958,东方证券,695.41
600959,江苏有线,176.53
600961,株冶集团,190.51
600967,内蒙一机,215.62
600968,海油发展,398.47
600970,中材国际,232.55
600977,中国电影,270.34
600985,淮北矿业,397.26
600986,浙文互联,131.48
600988,赤峰黄金,555.25
600989,宝丰能源,1760.01
600993,马应龙,104.09
600995,南网储能,499.22
600996,贵广网络,115.33
600998,九州通,242.04
600999,招商证券,1261
601000,唐山港,260.15
601001,晋控煤业,307.29
601003,柳钢股份,102.77
601005,重庆钢铁,108.08
601006,大秦铁路,1045.64
601009,南京银行,1332.79
601012,隆基绿能,1052.59
601016,节能风电,304.33
601018,宁波港,677.01
601019,山东出版,150.05
601020,华钰矿业,201.38
601021,春秋航空,479.38
601022,宁波远洋,107.44
601058,赛轮轮胎,415.29
601059,信达证券,557.8
601061,中信金属,644.84
601066,中信建投,1584.29
601068,中铝国际,141.55
601069,西部黄金,243.44
601077,渝农商行,586.86
601088,中国神华,7737.6
601098,中南传媒,195.58
601099,太平洋,229.03
601100,恒立液压,1462.97
601101,昊华能源,173.66
601106,中国一重,255.8
601107,四川成渝,136.9
601108,财通证券,364.54
601111,中国国航,792.56
601117,中国化学,468.57
601118,海南橡胶,273.03
601126,四方股份,642.74
601127,赛力斯,1268.5
601128,常熟银行,235.14
601133,柏诚股份,139.33
601136,首创证券,397.97
601137,博威合金,181.46
601138,工业富联,14565.56
601139,深圳燃气,186.41
601155,新城控股,295.94
601156,东航物流,155.57
601158,重庆水务,207.36
601162,天风证券,288.03
601163,三角轮胎,114.32
601166,兴业银行,3915.13
601168,西部矿业,727.53
601169,北京银行,1076.18
601179,中国西电,849.36
601186,中国铁建,736.21
601187,厦门银行,187.5
601198,东兴证券,432.18
601200,上海环境,102.99
601208,东材科技,505.09
601211,国泰海通,2075.82
601212,白银有色,464.28
601216,君正集团,432.03
601222,林洋能源,134.72
601225,陕西煤业,2495.49
601228,广州港,232.37
601229,上海银行,1283.07
601231,环旭电子,1070.8
601233,桐昆股份,453.09
601236,红塔证券,323.57
601238,广汽集团,448.19
601288,农业银行,20176.23
601298,青岛港,492.3
601311,骆驼股份,101.83
601318,中国平安,5703.13
601319,中国人保,2428.05
601326,秦港股份,157.95
601328,交通银行,1736.42
601333,广深铁路,174.65
601336,新华保险,1245.01
601339,百隆东方,111.57
601360,三六零,706.96
601369,陕鼓动力,163.8
601375,中原证券,139.28
601377,兴业证券,496.57
601390,中国中铁,976.84
601398,工商银行,19466
601399,国机重装,277
601456,国联民生,380.36
601512,中新集团,130.4
601519,大智慧,199.71
601555,东吴证券,389.55
601567,三星电气,229.75
601568,北元化工,150.15
601577,长沙银行,381.96
601598,中国外运,313.06
601600,中国铝业,1504.4
601601,中国太保,2202.73
601606,长城军工,248.48
